,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LTIM.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2020,11381700000.0,37631300000.0,4548000000.0,27101200000.0,18531139000.0,52119100000.0,33691300000.0,52637500000.0,-321832000000.0,30553600000.0,14026300000.0,15465200000.0,167141900000.0,13765400000.0,19498000000.0,18274400000.0,44251900000.0,1466056748.872978,262573200000.0,12974447000.0,36381100000.0,37670000000.0,67560000000.0,95663100000.0,44581806000.0,2331000000.0,153062300000.0,40300000000.0,85933610000.0,88944600000.0,15201000000.0,1270400000.0,56760000000.0,20824300000.0,67282200000.0,109071480000.0,93760000000.0,393540000000.0,14221831000.0,197678022000.0,37649300000.0,4597600000.0,-113940300000.0,27207700000.0,323400000000.0,40330000000.0,15013900000.0,58148400000.0,17760000000.0,97218000000.0
2021,9226400000.0,49943000000.0,1504000000.0,31392900000.0,71954962000.0,48570200000.0,44704600000.0,44198200000.0,-261402000000.0,161649800000.0,18639000000.0,24048700000.0,126998900000.0,19842900000.0,19149000000.0,13468900000.0,40673600000.0,1517445517.647027,318332100000.0,13608721000.0,29177500000.0,51820000000.0,79960000000.0,183843200000.0,29300961000.0,2613000000.0,131611900000.0,79110000000.0,99902039000.0,68866300000.0,19361000000.0,40020200000.0,43891000000.0,21448600000.0,127314400000.0,162486880000.0,116747800000.0,491280000000.0,14558494000.0,224054576000.0,29038200000.0,8566900000.0,-142700900000.0,74902200000.0,324300000000.0,44280000000.0,9730000000.0,53201900000.0,28710000000.0,107946000000.0
2022,7765600000.0,47280900000.0,10556000000.0,30305700000.0,141192900000.0,61658700000.0,45567700000.0,70282300000.0,42549000000.0,116815000000.0,15248200000.0,25167500000.0,173581000000.0,29604500000.0,23568000000.0,16766000000.0,70340400000.0,1780206070.820525,386000400000.0,13269331000.0,23168800000.0,142010000000.0,88740000000.0,251101000000.0,48050380000.0,2963000000.0,152426600000.0,206650000000.0,120893915000.0,84442100000.0,22968000000.0,65773200000.0,38795000000.0,23905200000.0,151894200000.0,455221060000.0,173538100000.0,607050000000.0,15059977000.0,353738798000.0,32727300000.0,9357800000.0,-113699300000.0,401539300000.0,383270000000.0,55661000000.0,21730000000.0,71843900000.0,36260000000.0,122191000000.0
2023,24729400000.0,53101800000.0,6975000000.0,50626000000.0,131179000000.0,60602100000.0,74225600000.0,115076900000.0,75470000000.0,21310500000.0,25361900000.0,34532200000.0,280595900000.0,18233800000.0,45073000000.0,29139400000.0,68272600000.0,154450000000.0,495446900000.0,14235971000.0,28099600000.0,100970000000.0,101210000000.0,340366400000.0,83337378000.0,2981000000.0,201851300000.0,41440000000.0,171726696000.0,104707200000.0,44275000000.0,102815000000.0,82110000000.0,29711100000.0,207165000000.0,354404800000.0,151685500000.0,667020000000.0,17205724000.0,682074428000.0,85485300000.0,12037700000.0,152140700000.0,-60812700000.0,446540000000.0,48313000000.0,33020000000.0,50639600000.0,18560000000.0,113500000000.0
